"Word","CEFR"
"the","A1"
"be","A1"
"of","A1"
"and","A1"
"in","A1"
"to","A1"
"to","A1"
"for","A1"
"have","A1"
"with","A1"
"on","A1"
"it","A1"
"British","A1"
"by","A1"
"at","A1"
"from","A1"
"that","A1"
"an","A1"
"or","A1"
"this","A1"
"not","A1"
"you","A1"
"will","A1"
"do","A1"
"but","A1"
"we","A1"
"can","A1"
"which","A1"
"they","A1"
"their","A1"
"as","A1"
"as","A1"
"all","A1"
"make","A1"
"if","A1"
"as","A1"
"also","A1"
"one","A1"
"who","A1"
"time","A1"
"other","A1"
"take","A1"
"year","A1"
"use","A1"
"he","A1"
"there","A1"
"your","A1"
"would","A1"
"his","A1"
"see","A1"
"into","A1"
"good","A1"
"our","A1"
"its","A1"
"about","A1"
"out","A1"
"new","A1"
"any","A1"
"when","A1"
"give","A1"
"go","A1"
"than","A1"
"get","A1"
"include","A1"
"say","A1"
"so","A1"
"people","A1"
"some","A1"
"these","A1"
"over","A1"
"no","A1"
"only","A1"
"find","A1"
"now","A1"
"then","A1"
"two","A1"
"well","A1"
"what","A1"
"first","A1"
"London","A1"
"very","A1"
"way","A1"
"yes","A1"
"should","A1"
"come","A1"
"provide","A1"
"after","A1"
"up","A1"
"hundred","A1"
"know","A1"
"just","A1"
"work","A1"
"many","A1"
"could","A1"
"work","A1"
"my","A1"
"through","A1"
"how","A1"
"day","A1"
"need","A1"
"part","A1"
"between","A1"
"information","A1"
"where","A1"
"look","A1"
"us","A1"
"number","A1"
"here","A1"
"before","A1"
"like","A1"
"even","A1"
"great","A1"
"think","A1"
"most","A1"
"which","A1"
"up","A1"
"help","A1"
"more","A1"
"place","A1"
"so","A1"
"own","A1"
"back","A1"
"want","A1"
"last","A1"
"me","A1"
"still","A1"
"high","A1"
"under","A1"
"life","A1"
"same","A1"
"such","A1"
"show","A1"
"more","A1"
"three","A1"
"must","A1"
"those","A1"
"because","A1"
"all","A1"
"another","A1"
"some","A1"
"both","A1"
"much","A1"
"leave","A1"
"thing","A1"
"about","A1"
"call","A1"
"each","A1"
"small","A1"
"problem","A1"
"her","A1"
"England","A1"
"use","A1"
"start","A1"
"put","A1"
"keep","A1"
"without","A1"
"too","A1"
"every","A1"
"end","A1"
"English","A1"
"run","A1"
"while","A1"
"home","A1"
