"Word","CEFR"
"andra","A1"
"arton","A1"
"bakre","A1"
"brunch","A1"
"decimeter","A1"
"elva","A1"
"ett","A1"
"Europa","A1"
"fem","A1"
"femte","A1"
"femtio","A1"
"femton","A1"
"fjorton","A1"
"fjärde","A1"
"främre","A1"
"fyra","A1"
"fyrtio","A1"
"första","A1"
"Grekland","A1"
"Göteborg","A1"
"hekto","A1"
"hela","A1"
"hundra","A1"
"hundratusen","A1"
"hörsel","A1"
"inrikesminister","A1"
"inrikespolitik","A1"
"Italien","A1"
"Kina","A1"
"kvällsmål","A1"
"känsel","A1"
"mellanmål","A1"
"miljard","A1"
"miljon","A1"
"milligram","A1"
"millimeter","A1"
"morbror","A1"
"månadsskifte","A1"
"nia","A1"
"nio","A1"
"nionde","A1"
"nittio","A1"
"nitton","A1"
"nordost","A1"
"Norge","A1"
"pingst","A1"
"Polen","A1"
"Ryssland","A1"
"sex","A1"
"sexa","A1"
"sextio","A1"
"sexton","A1"
"sju","A1"
"sjua","A1"
"sjunde","A1"
"sjuttio","A1"
"sjutton","A1"
"sjätte","A1"
"Stockholm","A1"
"storasyster","A1"
"Storbritannien","A1"
"syd","A1"
"sydväst","A1"
"sydöst","A1"
"syssling","A1"
"tia","A1"
"tio","A1"
"tionde","A1"
"tiotusen","A1"
"tjugo","A1"
"tolv","A1"
"tre","A1"
"tredje","A1"
"trettio","A1"
"tretton","A1"
"tusen","A1"
"två","A1"
"utbildningsminister","A1"
"veckodag","A1"
"åtta","A1"
"åtta","A1"
"åttio","A1"
"åttonde","A1"
"änkeman","A1"
"änkling","A1"
"ögonlock","A1"
"och (vardagl. å; förk. o.)","A1"
"vara (vardagl. va)","A1"
"i","A1"
"ha","A1"
"dess","A1"
"det","A1"
"en","A1"
"som","A1"
"på","A1"
"å","A1"
"av","A1"
"för","A1"
"att","A1"
"kunna","A1"
"skola","A1"
"jag","A1"
"inte (formellt: icke, ej)","A1"
"med","A1"
"till","A1"
"liten","A1"
"den","A1"
"ett","A1"
"analog","A1"
"unna","A1"
"om","A1"
"vi","A1"
"men","A1"
"man","A1"
"de (vardagl. dom)","A1"
"få","A1"
"så","A1"
"som","A1"
"sig (vardagl. sej)","A1"
"han","A1"
"de (vardagl. dom)","A1"
"bli","A1"
"komma","A1"
"det","A1"
"sin","A1"
"eller","A1"
"från","A1"
"mycket","A1"
"vilja","A1"
"all","A1"
"göra","A1"
"om","A1"
"annan","A1"
"du","A1"
"någon (vardagl. nån, förk. ngn)","A1"
"finna","A1"
"ta (el. taga)","A1"
"när","A1"
"se","A1"
"måste","A1"
"detta","A1"
"stor","A1"
"nu","A1"
"gå","A1"
"säga","A1"
"den","A1"
"vad (vardagl. va)","A1"
"år","A1"
"äga","A1"
"under","A1"
"betyda","A1"
"också (vardagl. oxå)","A1"
"där","A1"
"då","A1"
"min","A1"
"böra","A1"
"hur","A1"
"mig (vardagl. mej)","A1"
"mot","A1"
"bara","A1"
"vilken","A1"
"ut","A1"
"ny","A1"
"vid","A1"
"än","A1"
"bra","A1"
"ingen","A1"
"dem (vardagl. dom)","A1"
"efter","A1"
"upp","A1"
"hon","A1"
"lite","A1"
"denna","A1"
"in","A1"
"mycket","A1"
"över","A1"
"ge (formellt giva)","A1"
"vår (vardagl. våran)","A1"
"del","A1"
"här","A1"
"även","A1"
"skriva","A1"
"tid","A1"
"ju","A1"
"sedan (vardagl. sen)","A1"
"te sig","A1"
"riva","A1"
"börja","A1"
"hel","A1"
"dag","A1"
"själv","A1"
"människa","A1"
"land","A1"
"svensk","A1"
"fråga","A1"
"oss","A1"
"tro","A1"
"el","A1"
"tycka","A1"
"kommentar","A1"
"veta","A1"
"idag (el. i dag)","A1"
"försöka","A1"
"behöva","A1"
"samma","A1"
"mellan","A1"
"känna","A1"
"läsa","A1"
"ro","A1"
"kanske","A1"
"lik","A1"
"låta","A1"
"olik","A1"
"sådan","A1"
"sätt","A1"
"hans","A1"
"din","A1"
"gång","A1"
"stå","A1"
"inom","A1"
"visa","A1"
"använda","A1"
"vända","A1"
"hålla","A1"
"genom","A1"
"helt","A1"
"fler","A1"
"utan","A1"
"väl","A1"
"barn","A1"
"enligt","A1"
"tänka","A1"
"ni","A1"
"viktig","A1"
"ring","A1"
"eftersom","A1"
"liv","A1"
"deras","A1"
"värld","A1"
"viss","A1"
"dock","A1"
"egen","A1"
"folk","A1"
"regering","A1"
"fram","A1"
"honom","A1"
"söka","A1"
"dig (vardagl. dej)","A1"
"utan","A1"
"sak","A1"
"hög","A1"
"länge","A1"
"person","A1"
"ligga","A1"
"son","A1"
"både","A1"
"just","A1"
"lägga","A1"
"antal","A1"
"redan","A1"
"kvinna","A1"
"problem","A1"
"fall","A1"
"man","A1"
"aldrig","A1"
"ofta","A1"
"varje","A1"
"artikel","A1"
"anse","A1"
"öva","A1"
"lag","A1"
"slag","A1"
"tal","A1"
"åt","A1"
"nog","A1"
"bok","A1"
"varför","A1"
"handla","A1"
"gammal","A1"
"bild","A1"
"sida","A1"
"så","A1"
"öka","A1"
"därför","A1"
"sen","A1"
"god","A1"
"hos","A1"
"alltid","A1"
"skapa","A1"
"arbete","A1"
"kapa","A1"
"samt","A1"
"blogg","A1"
"innan","A1"
"som","A1"
"ur","A1"
"gälla","A1"
